Zeitstempel: 2020-09-05T17:05:54.965  ///  Zu vergleichendes Bild: Rad10
Für Bike09_bw.png: 
Berechnungszeit KPs: 180
Berechnungszeit Cluster: 696
Berechnungszeit Distanz: 1599
Gesamt:  2475 ms

Für Bike09_mir.png: 
Berechnungszeit KPs: 173
Berechnungszeit Cluster: 367
Berechnungszeit Distanz: 4993
Gesamt:  5533 ms

Für Bike09_rot.png: 
Berechnungszeit KPs: 165
Berechnungszeit Cluster: 246
Berechnungszeit Distanz: 1822
Gesamt:  2233 ms

Für Bike10.png: 
Berechnungszeit KPs: 261
Berechnungszeit Cluster: 633
Berechnungszeit Distanz: 18349
Gesamt:  19243 ms

Für Bike10_bw.png: 
Berechnungszeit KPs: 259
Berechnungszeit Cluster: 649
Berechnungszeit Distanz: 17951
Gesamt:  18859 ms

Für Bike10_mir.png: 
Berechnungszeit KPs: 270
Berechnungszeit Cluster: 654
Berechnungszeit Distanz: 23151
Gesamt:  24075 ms

Für Bike10_rot.png: 
Berechnungszeit KPs: 256
Berechnungszeit Cluster: 402
Berechnungszeit Distanz: 15809
Gesamt:  16467 ms

Für Landschaft01.jpg: 
Berechnungszeit KPs: 51
Berechnungszeit Cluster: 40
Berechnungszeit Distanz: 1900
Gesamt:  1991 ms

Für Landschaft01_bw.jpg: 
Berechnungszeit KPs: 46
Berechnungszeit Cluster: 40
Berechnungszeit Distanz: 1870
Gesamt:  1956 ms

Für Landschaft01_mir.jpg: 
Berechnungszeit KPs: 50
